Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
15456,2412.44,2635.56,1293.41,0.670595,0.607642,0.542104,86.8407,52.7681,28.6058,0.902116,0.153836,-0.40314,0.156184,0.754523,0.637418,-0.402236,0.637989,-0.65664,-20.4201,-18.4666,-13.7757,22.1196,15.6398,13.4508,76.5875,43.7396,47.8874,10.9291,-18.7733,8.0092,5096,0,2.72E+07,1759
245448,3232.43,2911.16,1315.39,0.345879,0.696336,0.939375,398.47,277.469,260.648,0.97205,0.136345,-0.191123,-0.193191,0.9271,-0.321189,0.133398,0.349135,0.927529,-41.7972,-43.4983,-37.601,51.2226,40.9046,39.723,391.502,277.668,267.417,15.2533,-24.5611,-8.60047,29864,0,4.32E+08,1760
232,2018.9,1984.14,1282.14,0.5428,0.537498,0.850609,4.39527,2.36245,2.00952,0.884288,-0.424105,0.195372,-0.190742,0.0538203,0.980164,0.426207,0.904012,0.0333019,-4.76884,-3.42106,-3.38606,5.0148,3.47784,4.00142,3.88793,2.43966,2.43966,-0.898352,0.346201,-0.179066,248,0,408552,1761
2.62E+06,2529.22,1488.32,1370.19,0.38772,0.776118,0.788901,1973.9,1531.98,1208.58,0.917556,0.292382,-0.269452,0.317439,-0.13061,0.939241,-0.239424,0.94734,0.212655,-105.015,-106.16,-115.335,104.227,90.8372,87.8687,1885.5,1279.52,1549.44,191.909,-92.7938,-99.9671,166064,0,4.62E+09,1762
2832,1680.34,3309.71,1288.56,0.889737,0.184152,0.598759,61.5847,11.3409,6.79049,-0.519304,0.837016,-0.172414,-0.144108,0.113093,0.983078,0.842351,0.535363,0.0618907,-14.6803,-9.42387,-6.39278,18.0806,9.56037,6.8765,21.6617,45.2373,12.8171,-23.8913,4.26137,-7.40163,1736,0,4.99E+06,1763
172664,3345.95,1822.97,1316.23,0.443417,0.739702,0.752443,330.548,244.507,183.977,0.880636,0.457844,0.121898,-0.453382,0.739624,0.497395,0.137571,-0.49329,0.858917,-42.102,-36.0739,-31.8256,39.6613,38.6324,38.5829,310.087,247.814,201.13,38.7989,2.08403,30.448,24024,0,3.05E+08,1764
4.00E+07,1046.9,1996.06,1499.99,0.486174,0.528764,0.971748,14092.3,7451.49,7240.97,0.952339,0.298134,0.0645519,-0.149266,0.270903,0.950963,-0.266028,0.915275,-0.302493,-274.047,-206.377,-233.334,267.606,214.19,206.115,13459.4,7865.4,7459.9,1936.74,391.303,186.088,977448,0,7.06E+10,1765
616,984.468,2428.13,1288.39,0.390581,0.901453,0.676041,6.66141,6.00495,4.05959,0.960691,0.119455,-0.250606,-0.19864,0.926394,-0.319901,0.193946,0.357107,0.913707,-5.9499,-6.04274,-5.14791,6.63604,5.83985,5.26385,6.53764,5.76623,4.42208,-0.0593987,-0.502783,-0.654403,528,0,1.09E+06,1766
270064,2884.46,1396.88,1338.34,0.671834,0.344527,0.952513,771.349,265.751,253.131,0.675625,-0.512805,0.529681,0.384795,0.858116,0.339956,-0.628858,-0.0258646,0.777089,-69.9272,-51.4014,-37.4663,54.5069,36.935,49.665,491.551,398.699,399.982,-175.377,187.103,-137.078,40016,0,4.77E+08,1767
864,1256.35,1625.93,1292.69,0.608835,0.686209,0.570038,11.1213,7.63151,4.35025,0.283989,0.214054,0.934629,0.757925,-0.647157,-0.0820818,0.587282,0.731689,-0.346023,-8.3283,-7.20701,-5.70867,7.4474,6.36197,5.37972,6.78125,6.03472,10.287,-1.19784,1.59306,1.52891,688,0,1.53E+06,1768
