Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
6848,2322.04,1941.71,1030.01,0.683103,0.345207,0.917991,58.8607,20.3191,18.6528,0.763261,-0.508062,0.399131,-0.160836,0.448904,0.878986,0.625751,0.735091,-0.260916,-18.6153,-11.8224,-10.4592,16.6538,10.6309,10.6034,42.1197,29.3673,26.3456,-15.7123,12.0134,-7.496,2720,0,1.66E+06,243
1.93E+08,2583.73,1803.22,1463.95,0.514958,0.680402,0.712876,39795.5,27076.9,19302.5,0.274296,-0.537657,0.7973,-0.528563,0.608336,0.592072,0.803357,0.583826,0.117322,-461.682,-397.587,-316.772,484.801,436.276,334.819,23016.4,28103.6,35054.9,-5522.06,2048.75,-5984.62,3.09E+06,0,4.70E+10,244
5.23E+06,1704.51,3284.68,1129.94,0.735568,0.466323,0.567058,4870.38,2271.17,1287.88,0.684297,0.553902,-0.474269,-0.649884,0.758243,-0.0521251,0.330739,0.343889,0.878836,-167.445,-116.864,-91.802,142.603,114.345,78.214,3380.72,2952.34,2096.37,873.349,-1129.35,-979.978,251256,0,1.28E+09,245
4.42E+07,915.91,2788.46,1297.43,0.693899,0.683103,0.448103,16724.3,11424.4,5119.33,0.272383,0.626141,-0.730585,-0.959967,0.228418,-0.16214,0.0653562,0.745502,0.663292,-284.937,-258.768,-160.15,283.136,231.543,174.114,11790.7,9998.07,11479.3,596.694,-1328,-5542.22,1.05E+06,0,1.09E+10,246
8,2238,3316,1034,-1,-1,-1,0,0,0,0,0,1,0,1,0,1,0,0,-1,-1,-1,1,1,1,0,0,0,0,0,0,24,0,1976,247
9.45E+06,2330.24,1530.74,1198.7,0.56227,0.868625,0.503935,4925.04,4278.01,2155.84,0.894571,-0.441613,-0.0687064,-0.0964429,-0.340856,0.935156,0.436395,0.829937,0.34751,-151.919,-156.971,-98.8345,151.337,148.04,118.875,4391.65,2942.45,4024.79,-1024.22,-361.6,-592.428,366032,0,2.34E+09,248
5.34E+06,2675.49,3167.09,1147.27,0.66319,0.517855,0.650395,4411.56,2284.55,1485.86,0.987381,0.000538719,0.158359,-0.150439,-0.309111,0.939052,-0.0494565,0.951026,0.30513,-154.041,-112.412,-92.7761,145.695,125.706,94.218,4356.26,1562.17,2263.53,38.6973,344.634,-231.587,253296,0,1.33E+09,249
1.82E+07,3063.93,1049.21,1212.23,0.807031,0.453563,0.425452,12289.8,5574.18,2371.54,-0.58251,0.744771,-0.325574,-0.434701,0.0530057,0.899013,0.686816,0.665212,0.292877,-248.744,-187.333,-126.94,258.629,179.93,113.208,6342.16,7882.01,6011.31,-4376.68,629.389,-2252.33,582448,0,4.55E+09,250
9.37E+07,1103.27,3062.55,1460.55,0.73033,0.466809,0.577689,32231.9,15046.1,8692,-0.154388,-0.498498,0.853032,0.987997,-0.0823479,0.130692,0.00509583,0.862971,0.505228,-447.546,-293.964,-221.384,380.899,285.05,222.051,15455.6,14584.8,25929.7,1294.71,-2279.68,-10078.4,1.75E+06,0,2.35E+10,251
1.28E+07,2135.59,3280.24,1198.78,0.543222,0.646254,0.706809,6578.33,4251.27,3004.84,0.768905,0.238207,-0.593332,0.53308,0.273517,0.800634,-0.353003,0.931904,-0.0833256,-181.068,-150.368,-130.704,187.5,143.722,134.495,5471.74,3300.85,5061.84,836.253,-1098.3,-232.108,445568,0,3.23E+09,252
3.06E+06,896.474,831.39,1154.61,0.605015,0.723282,0.5461,2561,1852.33,1011.56,0.625703,0.332899,-0.70546,-0.682631,0.671336,-0.288658,0.377506,0.662183,0.647304,-114.747,-97.0675,-76.6837,114.115,98.7793,78.9204,2009.96,1562.2,1852.73,-62.5602,-518.267,-526.813,169608,0,7.73E+08,253
4.64E+06,2142.63,2234.82,1200.44,0.801029,0.367514,0.541398,5439.67,1999.15,1082.34,0.490004,-0.420702,0.763483,0.828467,-0.0477114,-0.558001,0.271179,0.905944,0.325159,-149.144,-114.215,-79.2257,178.695,100.479,82.7217,2757.81,1855.63,3907.72,-934.483,1206.29,-1375.16,239856,0,1.18E+09,254
9136,3089.1,3098.36,1073.05,0.528435,0.745795,0.632298,48.3989,36.0957,22.8232,0.979804,-0.099291,0.173567,-0.195568,-0.294901,0.9353,0.0416815,0.950355,0.308364,-15.2184,-13.9572,-10.7951,14.7365,13.5303,11.1445,47.8839,24.2296,35.2043,-1.72268,1.92172,-4.10158,3104,0,2.33E+06,255
1.16E+08,3059.26,3019.76,1477.22,0.659458,0.610792,0.557542,31454.1,19211.9,10711.4,0.141886,-0.474411,0.868794,0.95623,-0.161219,-0.2442,0.255917,0.865415,0.430771,-431.732,-314.028,-238.789,412.524,330.459,244.842,18901.6,15600.8,26874.9,-2706.67,571.983,-8214.72,1.97E+06,0,2.97E+10,256
1.46E+07,3040.64,1882.12,1255.56,0.54955,0.726036,0.620424,6886.79,5000.06,3102.16,0.265398,-0.552219,0.790328,0.905599,-0.138505,-0.400883,0.33084,0.822113,0.46333,-188.593,-155.873,-117.195,186.602,173.385,143.758,4925.22,4292.67,5771.11,-792.722,104.82,-1546.36,476608,0,3.76E+09,257
4.03E+06,1390.75,2315.11,1192.86,0.539807,0.722433,0.637005,2913.6,2104.88,1340.82,0.435784,0.562108,-0.702942,0.895966,-0.196594,0.398241,-0.0856605,0.803359,0.589302,-115.517,-107.619,-85.1616,130.961,109.435,91.1899,2252.85,1867.29,2239.15,250.681,-209.165,-681.271,205536,0,1.04E+09,258
235160,743.832,1341.93,1122.66,0.620231,0.545408,0.696302,504.287,275.042,191.513,0.94552,0.266136,0.187518,-0.278725,0.364086,0.888681,-0.168238,0.892532,-0.418429,-51.7902,-41.9935,-32.7844,47.1175,39.4991,33.4326,477.625,224.739,268.479,70.2292,34.7654,42.6356,28888,0,6.09E+07,259
