,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
487,22500000.0,3096.06,2747.21,2461.48,0.573498,0.892871,0.477674,625568.0,11000000000.0,350.2632974822208
488,61100000.0,1572.14,1895.97,2533.84,0.528681,0.610191,0.772413,1230000.0,29900000000.0,488.6683324014207
490,1280.0,636.075,1485.03,2281.24,0.803958,0.346047,0.566519,992.0,628480.0,13.471122407685037
491,22800000.0,2624.94,1754.0,2479.15,0.544977,0.741151,0.613941,649520.0,11200000000.0,351.8131552667056
494,3832.0,678.902,1460.13,2321.14,0.982646,0.0335635,0.517061,3000.0,1900000.0,19.41521895660564
496,117000000.0,2919.19,2054.89,2638.2,0.225191,0.93568,0.828071,1820000.0,58300000000.0,606.8235308895069
497,2376.0,1923.04,2363.27,2319.43,0.923815,0.142707,0.533859,1648.0,1180000.0,16.555765691222007
500,1680.0,1943.72,2386.77,2350.82,0.958898,0.0850007,0.483554,1408.0,841680.0,14.749259605057311
502,1940000.0,1678.45,1129.67,2419.62,0.789901,0.858666,0.24468,130496.0,977000000.0,154.73944536405173
504,120000000.0,2773.29,3171.51,2731.65,0.539635,0.65184,0.706255,1920000.0,60700000000.0,611.9663483891738
505,63100000.0,1779.31,2399.49,2623.31,0.411735,0.808848,0.727287,1190000.0,31900000000.0,493.9430877809948
506,86500000.0,2317.69,2372.16,2703.44,0.573073,0.793815,0.537817,1520000.0,43900000000.0,548.705308348102
507,43400000.0,2130.75,2941.13,2633.64,0.331899,0.775954,0.861006,987448.0,22000000000.0,436.0105880110108
509,32000000.0,1060.64,1052.4,2677.93,0.521153,0.577418,0.82929,795192.0,16300000000.0,393.8980087370786
511,86200000.0,2427.48,1510.24,2756.73,0.691748,0.442958,0.695895,1530000.0,44100000000.0,548.0702321922454
512,128000000.0,1973.8,1549.81,2757.38,0.401131,0.958422,0.624849,1960000.0,65700000000.0,625.2741134374176
513,3384.0,2043.25,2726.86,2436.89,0.926531,0.280468,0.261951,2024.0,1740000.0,18.627042723881036
514,31700000.0,1958.95,2089.04,2633.07,0.252092,0.909777,0.822079,767832.0,16300000000.0,392.6632106387609
516,81300000.0,1357.91,2482.15,2774.5,0.503093,0.579439,0.857566,1450000.0,42000000000.0,537.4820617548514
520,37700000.0,1333.91,907.008,2673.94,0.29923,0.939402,0.745974,853440.0,19600000000.0,416.02003157742354
521,69800000.0,2410.92,2010.86,2735.94,0.63575,0.46026,0.791401,1310000.0,36400000000.0,510.8408279406967
522,107000000.0,2512.06,2763.76,2791.69,0.480128,0.56601,0.918486,1780000.0,56200000000.0,589.0177536797923
523,8584.0,2196.43,2672.04,2458.82,0.908374,0.574986,0.159353,5112.0,4500000.0,25.403703129464414
