,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
2891,827192.0,3178.21,3303.45,2151.9,0.446849,0.776623,0.712251,67232.0,2390000000.0,116.4669138787949
2892,1540000.0,2446.71,1192.09,2170.77,0.554994,0.554718,0.802221,123976.0,4440000000.0,143.2761928388319
2893,4240000.0,2217.04,2523.67,2193.07,0.379418,0.721879,0.859676,212648.0,12300000000.0,200.81173021745178
2894,258008.0,2399.31,2978.76,2136.48,0.313803,0.804976,0.852444,31096.0,747000000.0,78.98504137473483
2895,6464.0,3035.8,1174.42,2108.43,0.855867,0.319713,0.45082,2968.0,18700000.0,23.11182507431426
2896,1780000.0,1283.85,3037.4,2197.46,0.29032,0.892536,0.795128,119616.0,5150000000.0,150.36281925432687
2897,581048.0,2444.61,3171.66,2153.66,0.286209,0.850548,0.839213,61592.0,1680000000.0,103.53117178143401
2898,366376.0,2190.74,3010.16,2160.93,0.66702,0.526491,0.632452,55720.0,1060000000.0,88.77883973034866
2899,1130000.0,857.549,2696.13,2170.73,0.586536,0.879777,0.469965,100696.0,3280000000.0,129.2289871188671
2901,1690000.0,3138.1,1943.1,2173.63,0.386389,0.66816,0.918359,107400.0,4900000000.0,147.78466135994907
2902,48500000.0,1415.02,2619.57,2340.79,0.585277,0.642473,0.64551,1140000.0,141000000000.0,452.4608830457079
2904,7540000.0,1272.36,1352.08,2254.71,0.319969,0.799434,0.850641,324536.0,21900000000.0,243.28999035685263
2906,182032.0,2098.71,1843.04,2142.01,0.607189,0.441041,0.890644,27544.0,529000000.0,70.3152792962236
2907,169232.0,1498.16,2231.04,2150.73,0.688098,0.53963,0.577991,26816.0,492000000.0,68.62693793920089
2908,236376.0,959.703,1591.95,2145.87,0.331738,0.840221,0.79534,30296.0,688000000.0,76.71287376340545
2909,2960000.0,2952.97,1974.72,2187.9,0.518372,0.647193,0.74418,168464.0,8610000000.0,178.14119565996225
2911,227944.0,2597.17,1114.44,2156.73,0.689309,0.732994,0.423866,39280.0,664000000.0,75.78964059558405
