Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
9432,1618.02,1928.29,493.467,0.976367,0.0510825,0.462644,440.733,22.5137,10.4158,-0.377927,0.92387,-0.0603008,0.599364,0.293783,0.744617,0.705645,0.245269,-0.664762,-37.2624,-13.8245,-9.13059,38.5045,14.8761,7.86412,76.2236,378.751,18.6883,-148.117,15.2059,-21.3265,5112,0,641376,68
992,1635.27,1881.6,491.645,0.317764,0.776053,0.879109,9.66744,7.50244,6.59547,0.755323,0.655337,-0.00443854,-0.258532,0.304187,0.916859,-0.602202,0.691378,-0.399185,-7.33352,-6.75787,-6.24659,7.65351,6.6616,6.08836,8.40869,7.9987,7.35796,1.44927,-0.225286,0.244017,760,0,68448,69
24,2404.67,1676,489.333,1,0.333333,0,1.33333,0.444444,0,0.707107,0,0.707107,0.707107,0,-0.707107,0,1,0,-2.41421,-1.94281,-1,2.41421,1.4714,1,0.888889,0,0.888889,0,0.444444,0,56,0,1680,70
984,2436.26,1694.15,497.333,0.956105,0.114239,0.384241,53.3404,6.09357,2.3414,-0.0623053,0.984799,0.16214,-0.45449,-0.172629,0.873864,0.88857,-0.0192445,0.458337,-13.2863,-7.1166,-4.55406,17.3855,6.10908,4.45676,3.31443,51.9135,6.54743,-2.83482,-2.00542,7.57724,1000,0,69864,71
520,1548.4,1915.14,496.8,0.618377,0.621465,0.614069,7.98578,4.96288,3.04755,0.276562,0.388294,0.879057,0.960928,-0.10089,-0.257755,-0.0113965,0.915996,-0.401025,-6.54874,-5.62431,-4.37428,6.57159,5.29592,4.74859,5.19385,3.8116,6.99077,0.344615,0.726154,1.73538,488,0,37440,72
1.01E+08,3053.44,1424.07,798.899,0.341401,0.86321,0.762965,20394,17604.3,13431.5,0.505422,0.853991,-0.123482,-0.276428,0.295813,0.914375,0.817396,-0.428011,0.385578,-316.575,-307.444,-283.029,314.79,283.092,258.33,15528.9,18874.4,17026.4,2663.99,-1489.26,394.467,1.64E+06,0,7.36E+09,73
72,2421.33,1812,498.444,0.812958,0.202411,0.924069,3.69628,0.748167,0.691358,-0.255099,-0.590969,0.765297,-0.186881,0.806694,0.560642,0.948683,8.52E-10,0.316228,-4.22273,-2.49505,-2.40546,3.71253,2.23963,2.12437,0.888889,1.77778,2.46914,0.444444,-0.592593,-1.33333,128,0,5328,74
7.11E+07,873.824,1173.02,795.156,0.489013,0.551903,0.925864,20657.9,11401.2,10555.9,0.490484,0.0951231,0.866243,0.842534,-0.305699,-0.44349,0.222624,0.947365,-0.230085,-311.82,-280.358,-249.799,322.624,244.251,242.507,13586.2,10726.3,18302.5,253.621,3976.29,946.995,1.34E+06,0,5.34E+09,75
6.49E+07,2437.91,1646.02,844.891,0.553534,0.591921,0.754266,20221.7,11969.7,9028.31,0.246841,0.2627,0.932769,0.968722,-0.0416205,-0.244634,-0.0254431,0.963979,-0.264757,-319.155,-256.502,-179.164,304.399,274.331,228.985,12470.6,9805.88,18943.2,607.248,1880.19,2772.77,1.28E+06,0,4.93E+09,76
2368,2377.32,1260.84,549.872,0.827737,0.434585,0.396385,33.7102,14.6499,5.80702,-0.55187,0.354578,0.754794,0.428141,0.897183,-0.108431,-0.715636,0.263318,-0.646938,-11.9501,-8.5691,-6.4751,14.9082,10.0672,5.65825,15.9262,16.4332,21.8078,-2.06337,-12.0336,6.60756,1488,0,182336,77
80,2392.4,1806.8,549.2,0.75,0.3,0.833333,3.2,0.96,0.8,0.771517,-0.154303,0.617213,-0.267261,0.801784,0.534522,-0.57735,-0.57735,0.57735,-3.77746,-2.71047,-2.1547,4.08607,2.49666,2.1547,2.24,0.96,1.76,-0.32,1.12,-0.16,136,0,6240,78
